Paper (Authors + Year),Paper Name,Trait,Counter or Co,Population Number,Comparison(a or b),Point on gradient,Treatment,Experiment #,Population Home Env,Comparison population,Value,Standard Deviation,Sample Size,Notes
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,growth rate,Counter,2,,,19,1,5,b,0.009316455696,0.0008305231949,6,
Luquet et al. 2019,Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient,growth rate,Counter,1,a,,19,1,5,b,0.008895117541,0.001269039442,6,
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,metabolic rate,Counter,1,a,48.968503,37,1,4,b,1.77252449,0.1388293441,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,metabolic rate,Counter,1,a,48.968503,31,1,,,1.09699044,0.1014834387,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,metabolic rate,Counter,1,a,48.968503,25,1,1,a,0.7013336481,0.07437955415,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,metabolic rate,Counter,2,,44.303974,37,1,4,b,1.922719226,0.2589232842,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,metabolic rate,Counter,2,,44.303974,31,1,,,1.236846453,0.2034664882,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,metabolic rate,Counter,2,,44.303974,25,1,1,a,0.7533813289,0.101171182,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,metabolic rate,Counter,3,,39.106702,37,1,4,b,1.19612888,0.129086934,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,metabolic rate,Counter,3,,39.106702,31,1,,,0.8279003895,0.1289620313,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,metabolic rate,Counter,3,,39.106702,25,1,1,a,0.5471969786,0.04546458054,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,metabolic rate,Counter,4,b,31.951119,37,1,4,b,1.3322554,0.1108511407,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,metabolic rate,Counter,4,b,31.951119,31,1,,,0.7549156143,0.08368480483,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,metabolic rate,Counter,4,b,31.951119,25,1,1,a,0.5193201936,0.0641999846,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,developmental rate,Counter,1,a,48.968503,37,1,4,b,5.66708393,0.5193064266,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,developmental rate,Counter,1,a,48.968503,31,1,,,8.181835913,0.3473770631,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,developmental rate,Counter,1,a,48.968503,25,1,1,a,13.25043618,0.7845889778,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,developmental rate,Counter,2,,44.303974,37,1,4,b,6.263900906,0.2568385443,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,developmental rate,Counter,2,,44.303974,31,1,,,9.209687371,0.6975687952,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,developmental rate,Counter,2,,44.303974,25,1,1,a,14.31117817,1.9341467,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,developmental rate,Counter,3,,39.106702,37,1,4,b,8.717481808,1.401470596,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,developmental rate,Counter,3,,39.106702,31,1,,,12.75769869,1.226022896,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,developmental rate,Counter,3,,39.106702,25,1,1,a,19.15229294,2.453453126,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,developmental rate,Counter,4,b,31.951119,37,1,4,b,7.722786848,0.7039018004,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,developmental rate,Counter,4,b,31.951119,31,1,,,12.75769869,0.7039018004,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,developmental rate,Counter,4,b,31.951119,25,1,1,a,17.39473255,1.664642145,7,used sample size of seven because of avg 15% mortalilty and this was the smallest sample size (e.g. most conservative)
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,growth rate,Counter,1,a,48.968503,37,1,4,b,0.1095198701,0.01179898193,7,
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,growth rate,Counter,1,a,48.968503,31,1,,,0.0551377656,0.01061782421,7,
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,growth rate,Counter,1,a,48.968503,25,1,1,a,0.03379031277,0.006479573755,7,
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,growth rate,Counter,2,,44.303974,37,1,4,b,0.1068412562,0.01475187623,7,
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,growth rate,Counter,2,,44.303974,31,1,,,0.06518098099,0.01478126523,7,
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,growth rate,Counter,2,,44.303974,25,1,1,a,0.03870110498,0.01181157721,7,
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,growth rate,Counter,3,,39.106702,37,1,4,b,0.06576758898,0.01180737878,7,
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,growth rate,Counter,3,,39.106702,31,1,,,0.03817321069,0.009432468057,7,
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,growth rate,Counter,3,,39.106702,25,1,1,a,0.02687214696,0.004108861456,7,
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,growth rate,Counter,4,b,31.951119,37,1,4,b,0.08027833465,0.007677525187,7,
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,growth rate,Counter,4,b,31.951119,31,1,,,0.03817162383,0.009474452337,7,
Parsons and Joern 2014,Life history traits associated with body size covary along a latitudinal gradient in a generalist grasshopper,growth rate,Counter,4,b,31.951119,25,1,1,a,0.02687056011,0.004159242591,7,
Tüzün et al. 2017,Microgeographic differentiation in thermal performance curves between rural and urban populations of an aquatic insect,growth rate,Counter,1,a,,16,1,1,a,0.01786638444,0.006894343238,90,pops are combined measures of 3 urban or 3 rural pops together
Tüzün et al. 2017,Microgeographic differentiation in thermal performance curves between rural and urban populations of an aquatic insect,growth rate,Counter,1,a,,20,1,,,0.01879459595,0.005128091261,90,
Tüzün et al. 2017,Microgeographic differentiation in thermal performance curves between rural and urban populations of an aquatic insect,growth rate,Counter,1,a,,24,1,,,0.01832541551,0.005303340952,90,
Tüzün et al. 2017,Microgeographic differentiation in thermal performance curves between rural and urban populations of an aquatic insect,growth rate,Counter,1,a,,28,1,,,0.01647731605,0.004949784889,90,
Tüzün et al. 2017,Microgeographic differentiation in thermal performance curves between rural and urban populations of an aquatic insect,growth rate,Counter,1,a,,30,1,2,b,0.01503143264,0.006717565206,90,
Tüzün et al. 2017,Microgeographic differentiation in thermal performance curves between rural and urban populations of an aquatic insect,growth rate,Counter,2,b,,16,1,1,a,0.01585390805,0.006895871579,90,
Tüzün et al. 2017,Microgeographic differentiation in thermal performance curves between rural and urban populations of an aquatic insect,growth rate,Counter,2,b,,20,1,,,0.01735977482,0.004949784889,90,
Tüzün et al. 2017,Microgeographic differentiation in thermal performance curves between rural and urban populations of an aquatic insect,growth rate,Counter,2,b,,24,1,,,0.01711420286,0.00512503458,90,
Tüzün et al. 2017,Microgeographic differentiation in thermal performance curves between rural and urban populations of an aquatic insect,growth rate,Counter,2,b,,28,1,,,0.01517293321,0.004773006857,90,
Tüzün et al. 2017,Microgeographic differentiation in thermal performance curves between rural and urban populations of an aquatic insect,growth rate,Counter,2,b,,30,1,2,b,0.01355934342,0.006540787175,90,
Laurila et al. 2003,Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment,body size,Counter,1,a,69.05,16,1,1,a,12.2014678,2.236067977,20,"only used ""normal"" treatments"
Laurila et al. 2003,Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment,body size,Counter,1,a,69.05,20,1,2,b,14.44839015,1.862331237,20,"only used ""normal"" treatments"
Laurila et al. 2003,Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment,body size,Counter,2,b,55.7,16,1,1,a,8.580255682,2.237126722,20,"only used ""normal"" treatments"
Laurila et al. 2003,Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment,body size,Counter,2,b,55.7,20,1,2,b,9.910511364,1.863389981,20,"only used ""normal"" treatments"
Laurila et al. 2003,Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment,development time,Counter,1,a,69.05,16,1,1,a,43.40422241,4.003648981,20,"only used ""normal"" treatments"
Laurila et al. 2003,Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment,development time,Counter,1,a,69.05,20,1,2,b,31.78754329,2.865238893,20,"only used ""normal"" treatments"
Laurila et al. 2003,Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment,development time,Counter,2,b,55.7,16,1,1,a,54.2819366,4.572854026,20,"only used ""normal"" treatments"
Laurila et al. 2003,Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment,development time,Counter,2,b,55.7,20,1,2,b,41.77108843,3.42723881,20,"only used ""normal"" treatments"
Laurila et al. 2003,Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment,weight,Counter,1,a,69.05,16,1,1,a,0.6927786466,0.1471780829,20,"only used ""normal"" treatments"
Laurila et al. 2003,Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment,weight,Counter,1,a,69.05,20,1,2,b,0.7532103013,0.1358566919,20,"only used ""normal"" treatments"
Laurila et al. 2003,Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment,weight,Counter,2,b,55.7,16,1,1,a,0.5515921176,0.1471221287,20,"only used ""normal"" treatments"
Laurila et al. 2003,Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment,weight,Counter,2,b,55.7,20,1,2,b,0.5816578042,0.1470661746,20,"only used ""normal"" treatments"
Laurila et al. 2003,Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment,growth rate,Counter,1,a,69.05,16,1,1,a,19.12896512,2.825966653,20,"only used ""normal"" treatments"
Laurila et al. 2003,Influence of seasonal time constraints on growth and development of common frog tadpoles: a photoperiod experiment,growth rate,Counter,1,a,69.05,20,1,2,b,27.06130488,3.461246955,20,"only used ""normal"" treatments"
